ID,class,wordnet,Chinese
0,tench,n01440764,丁鲷
1,goldfish,n01443537,金鱼
2,great_white_shark,n01484850,大白鲨
3,tiger_shark,n01491361,虎鲨
4,hammerhead,n01494475,锤头鲨
5,electric_ray,n01496331,电鳐
6,stingray,n01498041,黄貂鱼
7,cock,n01514668,公鸡
8,hen,n01514859,母鸡
9,ostrich,n01518878,鸵鸟
10,brambling,n01530575,燕雀
11,goldfinch,n01531178,金翅雀
12,house_finch,n01532829,家朱雀
13,junco,n01534433,灯芯草雀
14,indigo_bunting,n01537544,"靛蓝雀,靛蓝鸟"
15,robin,n01558993,蓝鹀
16,bulbul,n01560419,夜莺
17,jay,n01580077,松鸦
18,magpie,n01582220,喜鹊
19,chickadee,n01592084,山雀
20,water_ouzel,n01601694,河鸟
21,kite,n01608432,鸢（猛禽）
22,bald_eagle,n01614925,秃头鹰
23,vulture,n01616318,秃鹫
24,great_grey_owl,n01622779,大灰猫头鹰
25,European_fire_salamander,n01629819,欧洲火蝾螈
26,common_newt,n01630670,普通蝾螈
27,eft,n01631663,水蜥
28,spotted_salamander,n01632458,斑点蝾螈
29,axolotl,n01632777,"蝾螈,泥狗"
30,bullfrog,n01641577,牛蛙
31,tree_frog,n01644373,树蛙
32,tailed_frog,n01644900,"尾蛙,铃蟾蜍,肋蟾蜍,尾蟾蜍"
33,loggerhead,n01664065,红海龟
34,leatherback_turtle,n01665541,皮革龟
35,mud_turtle,n01667114,泥龟
36,terrapin,n01667778,淡水龟
37,box_turtle,n01669191,箱龟
38,banded_gecko,n01675722,带状壁虎
39,common_iguana,n01677366,普通鬣蜥
40,American_chameleon,n01682714,美国变色龙
41,whiptail,n01685808,鞭尾蜥蜴
42,agama,n01687978,飞龙科蜥蜴
43,frilled_lizard,n01688243,褶边蜥蜴
44,alligator_lizard,n01689811,鳄鱼蜥蜴
45,Gila_monster,n01692333,毒蜥
46,green_lizard,n01693334,绿蜥蜴
47,African_chameleon,n01694178,非洲变色龙
48,Komodo_dragon,n01695060,科莫多蜥蜴
49,African_crocodile,n01697457,"非洲鳄,尼罗河鳄鱼"
50,American_alligator,n01698640,"美国鳄鱼,鳄鱼"
51,triceratops,n01704323,三角龙
52,thunder_snake,n01728572,"雷蛇,蠕虫蛇"
53,ringneck_snake,n01728920,"环蛇,环颈蛇"
54,hognose_snake,n01729322,希腊蛇
55,green_snake,n01729977,"绿蛇,草蛇"
56,king_snake,n01734418,国王蛇
57,garter_snake,n01735189,"袜带蛇,草蛇"
58,water_snake,n01737021,水蛇
59,vine_snake,n01739381,藤蛇
60,night_snake,n01740131,夜蛇
61,boa_constrictor,n01742172,大蟒蛇
62,rock_python,n01744401,"岩石蟒蛇,岩蛇,蟒蛇"
63,Indian_cobra,n01748264,印度眼镜蛇
64,green_mamba,n01749939,绿曼巴
65,sea_snake,n01751748,海蛇
66,horned_viper,n01753488,角腹蛇
67,diamondback,n01755581,菱纹响尾蛇
68,sidewinder,n01756291,角响尾蛇
69,trilobite,n01768244,三叶虫
70,harvestman,n01770081,盲蜘蛛
71,scorpion,n01770393,蝎子
72,black_and_gold_garden_spider,n01773157,黑金花园蜘蛛
73,barn_spider,n01773549,谷仓蜘蛛
74,garden_spider,n01773797,花园蜘蛛
75,black_widow,n01774384,黑寡妇蜘蛛
76,tarantula,n01774750,狼蛛
77,wolf_spider,n01775062,"狼蜘蛛,狩猎蜘蛛"
78,tick,n01776313,壁虱
79,centipede,n01784675,蜈蚣
80,black_grouse,n01795545,黑松鸡
81,ptarmigan,n01796340,"松鸡,雷鸟"
82,ruffed_grouse,n01797886,"披肩鸡,披肩榛鸡"
83,prairie_chicken,n01798484,"草原鸡,草原松鸡"
84,peacock,n01806143,孔雀
85,quail,n01806567,鹌鹑
86,partridge,n01807496,鹧鸪
87,African_grey,n01817953,非洲灰鹦鹉
88,macaw,n01818515,金刚鹦鹉
89,sulphur-crested_cockatoo,n01819313,硫冠鹦鹉
90,lorikeet,n01820546,短尾鹦鹉
91,coucal,n01824575,褐翅鸦鹃
92,bee_eater,n01828970,蜜蜂
93,hornbill,n01829413,犀鸟
94,hummingbird,n01833805,蜂鸟
95,jacamar,n01843065,鹟䴕
96,toucan,n01843383,犀鸟
97,drake,n01847000,野鸭
98,red-breasted_merganser,n01855032,红胸秋沙鸭
99,goose,n01855672,鹅
100,black_swan,n01860187,黑天鹅
101,tusker,n01871265,大象
102,echidna,n01872401,针鼹鼠
103,platypus,n01873310,鸭嘴兽
104,wallaby,n01877812,沙袋鼠
105,koala,n01882714,"考拉,考拉熊"
106,wombat,n01883070,袋熊
107,jellyfish,n01910747,水母
108,sea_anemone,n01914609,海葵
109,brain_coral,n01917289,脑珊瑚
110,flatworm,n01924916,扁形虫扁虫
111,nematode,n01930112,"线虫,蛔虫"
112,conch,n01943899,海螺
113,snail,n01944390,蜗牛
114,slug,n01945685,鼻涕虫
115,sea_slug,n01950731,海参
116,chiton,n01955084,石鳖
117,chambered_nautilus,n01968897,鹦鹉螺
118,Dungeness_crab,n01978287,珍宝蟹
119,rock_crab,n01978455,石蟹
120,fiddler_crab,n01980166,招潮蟹
121,king_crab,n01981276,"帝王蟹,阿拉斯加蟹,阿拉斯加帝王蟹"
122,American_lobster,n01983481,"美国龙虾,缅因州龙虾"
123,spiny_lobster,n01984695,大螯虾
124,crayfish,n01985128,小龙虾
125,hermit_crab,n01986214,寄居蟹
126,isopod,n01990800,等足目动物(明虾和螃蟹近亲)
127,white_stork,n02002556,白鹳
128,black_stork,n02002724,黑鹳
129,spoonbill,n02006656,鹭
130,flamingo,n02007558,火烈鸟
131,little_blue_heron,n02009229,小蓝鹭
132,American_egret,n02009912,"美国鹭,大白鹭"
133,bittern,n02011460,麻鸦
134,crane,n02012849,鹤
135,limpkin,n02013706,秧鹤
136,European_gallinule,n02017213,"欧洲水鸡,紫水鸡"
137,American_coot,n02018207,"沼泽泥母鸡,水母鸡"
138,bustard,n02018795,鸨
139,ruddy_turnstone,n02025239,红翻石鹬
140,red-backed_sandpiper,n02027492,"红背鹬,黑腹滨鹬"
141,redshank,n02028035,红脚鹬
142,dowitcher,n02033041,半蹼鹬
143,oystercatcher,n02037110,蛎鹬
144,pelican,n02051845,鹈鹕
145,king_penguin,n02056570,国王企鹅
146,albatross,n02058221,"信天翁,大海鸟"
147,grey_whale,n02066245,灰鲸
148,killer_whale,n02071294,"杀人鲸,逆戟鲸,虎鲸"
149,dugong,n02074367,海牛
150,sea_lion,n02077923,海狮
151,Chihuahua,n02085620,奇瓦瓦
152,Japanese_spaniel,n02085782,日本猎犬
153,Maltese_dog,n02085936,马尔济斯犬
154,Pekinese,n02086079,狮子狗
155,Shih-Tzu,n02086240,西施犬
156,Blenheim_spaniel,n02086646,布莱尼姆猎犬
157,papillon,n02086910,巴比狗
158,toy_terrier,n02087046,玩具犬
159,Rhodesian_ridgeback,n02087394,罗得西亚长背猎狗
160,Afghan_hound,n02088094,阿富汗猎犬
161,basset,n02088238,猎犬
162,beagle,n02088364,"比格犬,猎兔犬"
163,bloodhound,n02088466,侦探犬
164,bluetick,n02088632,蓝色快狗
165,black-and-tan_coonhound,n02089078,黑褐猎浣熊犬
166,Walker_hound,n02089867,沃克猎犬
167,English_foxhound,n02089973,英国猎狐犬
168,redbone,n02090379,美洲赤狗
169,borzoi,n02090622,俄罗斯猎狼犬
170,Irish_wolfhound,n02090721,爱尔兰猎狼犬
171,Italian_greyhound,n02091032,意大利灰狗
172,whippet,n02091134,惠比特犬
173,Ibizan_hound,n02091244,依比沙猎犬
174,Norwegian_elkhound,n02091467,挪威猎犬
175,otterhound,n02091635,"奥达猎犬,水獭猎犬"
176,Saluki,n02091831,"沙克犬,瞪羚猎犬"
177,Scottish_deerhound,n02092002,"苏格兰猎鹿犬,猎鹿犬"
178,Weimaraner,n02092339,威玛猎犬
179,Staffordshire_bullterrier,n02093256,"斯塔福德郡牛头梗,斯塔福德郡斗牛梗"
180,American_Staffordshire_terrier,n02093428,"美国斯塔福德郡梗,美国比特斗牛梗,斗牛梗"
181,Bedlington_terrier,n02093647,贝德灵顿梗
182,Border_terrier,n02093754,边境梗
183,Kerry_blue_terrier,n02093859,凯丽蓝梗
184,Irish_terrier,n02093991,爱尔兰梗
185,Norfolk_terrier,n02094114,诺福克梗
186,Norwich_terrier,n02094258,诺维奇梗
187,Yorkshire_terrier,n02094433,约克郡梗
188,wire-haired_fox_terrier,n02095314,刚毛猎狐梗
189,Lakeland_terrier,n02095570,莱克兰梗
190,Sealyham_terrier,n02095889,锡利哈姆梗
191,Airedale,n02096051,艾尔谷犬
192,cairn,n02096177,凯恩梗
193,Australian_terrier,n02096294,澳大利亚梗
194,Dandie_Dinmont,n02096437,丹迪丁蒙梗
195,Boston_bull,n02096585,波士顿梗
196,miniature_schnauzer,n02097047,迷你雪纳瑞犬
197,giant_schnauzer,n02097130,巨型雪纳瑞犬
198,standard_schnauzer,n02097209,标准雪纳瑞犬
199,Scotch_terrier,n02097298,苏格兰梗
200,Tibetan_terrier,n02097474,"西藏梗,菊花狗"
201,silky_terrier,n02097658,丝毛梗
202,soft-coated_wheaten_terrier,n02098105,软毛麦色梗
203,West_Highland_white_terrier,n02098286,西高地白梗
204,Lhasa,n02098413,拉萨阿普索犬
205,flat-coated_retriever,n02099267,平毛寻回犬
206,curly-coated_retriever,n02099429,卷毛寻回犬
207,golden_retriever,n02099601,金毛猎犬
208,Labrador_retriever,n02099712,拉布拉多猎犬
209,Chesapeake_Bay_retriever,n02099849,乞沙比克猎犬
210,German_short-haired_pointer,n02100236,德国短毛猎犬
211,vizsla,n02100583,维兹拉犬
212,English_setter,n02100735,英国谍犬
213,Irish_setter,n02100877,"爱尔兰雪达犬,红色猎犬"
214,Gordon_setter,n02101006,戈登雪达犬
215,Brittany_spaniel,n02101388,布列塔尼犬猎犬
216,clumber,n02101556,"黄毛,黄毛猎犬"
217,English_springer,n02102040,英国史宾格犬
218,Welsh_springer_spaniel,n02102177,威尔士史宾格犬
219,cocker_spaniel,n02102318,"可卡犬,英国可卡犬"
220,Sussex_spaniel,n02102480,萨塞克斯猎犬
221,Irish_water_spaniel,n02102973,爱尔兰水猎犬
222,kuvasz,n02104029,哥威斯犬
223,schipperke,n02104365,舒柏奇犬
224,groenendael,n02105056,比利时牧羊犬
225,malinois,n02105162,马里努阿犬
226,briard,n02105251,伯瑞犬
227,kelpie,n02105412,凯尔皮犬
228,komondor,n02105505,匈牙利牧羊犬
229,Old_English_sheepdog,n02105641,老英国牧羊犬
230,Shetland_sheepdog,n02105855,喜乐蒂牧羊犬
231,collie,n02106030,牧羊犬
232,Border_collie,n02106166,边境牧羊犬
233,Bouvier_des_Flandres,n02106382,法兰德斯牧牛狗
234,Rottweiler,n02106550,罗特韦尔犬
235,German_shepherd,n02106662,"德国牧羊犬,德国警犬,阿尔萨斯"
236,Doberman,n02107142,"多伯曼犬,杜宾犬"
237,miniature_pinscher,n02107312,迷你杜宾犬
238,Greater_Swiss_Mountain_dog,n02107574,大瑞士山地犬
239,Bernese_mountain_dog,n02107683,伯恩山犬
240,Appenzeller,n02107908,Appenzeller狗
241,EntleBucher,n02108000,EntleBucher狗
242,boxer,n02108089,拳师狗
243,bull_mastiff,n02108422,斗牛獒
244,Tibetan_mastiff,n02108551,藏獒
245,French_bulldog,n02108915,法国斗牛犬
246,Great_Dane,n02109047,大丹犬
247,Saint_Bernard,n02109525,圣伯纳德狗
248,Eskimo_dog,n02109961,"爱斯基摩犬,哈士奇"
249,malamute,n02110063,"雪橇犬,阿拉斯加爱斯基摩狗"
250,Siberian_husky,n02110185,哈士奇
251,dalmatian,n02110341,"达尔马提亚,教练车狗"
252,affenpinscher,n02110627,狮毛狗
253,basenji,n02110806,巴辛吉狗
254,pug,n02110958,"哈巴狗,狮子狗"
255,Leonberg,n02111129,莱昂贝格狗
256,Newfoundland,n02111277,纽芬兰岛狗
257,Great_Pyrenees,n02111500,大白熊犬
258,Samoyed,n02111889,萨摩耶犬
259,Pomeranian,n02112018,博美犬
260,chow,n02112137,"松狮,松狮"
261,keeshond,n02112350,荷兰卷尾狮毛狗
262,Brabancon_griffon,n02112706,布鲁塞尔格林芬犬
263,Pembroke,n02113023,彭布洛克威尔士科基犬
264,Cardigan,n02113186,威尔士柯基犬
265,toy_poodle,n02113624,玩具贵宾犬
266,miniature_poodle,n02113712,迷你贵宾犬
267,standard_poodle,n02113799,标准贵宾犬
268,Mexican_hairless,n02113978,墨西哥无毛犬
269,timber_wolf,n02114367,灰狼
270,white_wolf,n02114548,"白狼,北极狼"
271,red_wolf,n02114712,"红太狼,鬃狼,犬犬鲁弗斯"
272,coyote,n02114855,"狼,草原狼,刷狼,郊狼"
273,dingo,n02115641,"澳洲野狗,澳大利亚野犬"
274,dhole,n02115913,豺
275,African_hunting_dog,n02116738,"非洲猎犬,土狼犬"
276,hyena,n02117135,鬣狗
277,red_fox,n02119022,红狐狸
278,kit_fox,n02119789,沙狐
279,Arctic_fox,n02120079,"北极狐狸,白狐狸"
280,grey_fox,n02120505,灰狐狸
281,tabby,n02123045,虎斑猫
282,tiger_cat,n02123159,"山猫,虎猫"
283,Persian_cat,n02123394,波斯猫
284,Siamese_cat,n02123597,"暹罗暹罗猫,"
285,Egyptian_cat,n02124075,埃及猫
286,cougar,n02125311,"美洲狮,美洲豹"
287,lynx,n02127052,"猞猁,山猫"
288,leopard,n02128385,豹子
289,snow_leopard,n02128757,雪豹
290,jaguar,n02128925,美洲虎
291,lion,n02129165,狮子
292,tiger,n02129604,老虎
293,cheetah,n02130308,猎豹
294,brown_bear,n02132136,棕熊
295,American_black_bear,n02133161,美洲黑熊
296,ice_bear,n02134084,"冰熊,北极熊"
297,sloth_bear,n02134418,懒熊
298,mongoose,n02137549,猫鼬
299,meerkat,n02138441,"猫鼬,海猫"
300,tiger_beetle,n02165105,虎甲虫
301,ladybug,n02165456,瓢虫
302,ground_beetle,n02167151,土鳖虫
303,long-horned_beetle,n02168699,天牛
304,leaf_beetle,n02169497,龟甲虫
305,dung_beetle,n02172182,粪甲虫
306,rhinoceros_beetle,n02174001,犀牛甲虫
307,weevil,n02177972,象甲
308,fly,n02190166,苍蝇
309,bee,n02206856,蜜蜂
310,ant,n02219486,蚂蚁
311,grasshopper,n02226429,蚱蜢
312,cricket,n02229544,蟋蟀
313,walking_stick,n02231487,竹节虫
314,cockroach,n02233338,蟑螂
315,mantis,n02236044,螳螂
316,cicada,n02256656,蝉
317,leafhopper,n02259212,叶蝉
318,lacewing,n02264363,草蜻蛉
319,dragonfly,n02268443,蜻蜓
320,damselfly,n02268853,"豆娘,蜻蛉"
321,admiral,n02276258,优红蛱蝶
322,ringlet,n02277742,小环蝴蝶
323,monarch,n02279972,"君主蝴蝶,大斑蝶"
324,cabbage_butterfly,n02280649,菜粉蝶
325,sulphur_butterfly,n02281406,白蝴蝶
326,lycaenid,n02281787,灰蝶
327,starfish,n02317335,海星
328,sea_urchin,n02319095,海胆
329,sea_cucumber,n02321529,"海参,海黄瓜"
330,wood_rabbit,n02325366,野兔
331,hare,n02326432,兔
332,Angora,n02328150,安哥拉兔
333,hamster,n02342885,仓鼠
334,porcupine,n02346627,"刺猬,豪猪,"
335,fox_squirrel,n02356798,黑松鼠
336,marmot,n02361337,土拨鼠
337,beaver,n02363005,海狸
338,guinea_pig,n02364673,"豚鼠,豚鼠"
339,sorrel,n02389026,栗色马
340,zebra,n02391049,斑马
341,hog,n02395406,猪
342,wild_boar,n02396427,野猪
343,warthog,n02397096,疣猪
344,hippopotamus,n02398521,河马
345,ox,n02403003,牛
346,water_buffalo,n02408429,"水牛,亚洲水牛"
347,bison,n02410509,野牛
348,ram,n02412080,公羊
349,bighorn,n02415577,"大角羊,洛矶山大角羊"
350,ibex,n02417914,山羊
351,hartebeest,n02422106,狷羚
352,impala,n02422699,黑斑羚
353,gazelle,n02423022,瞪羚
354,Arabian_camel,n02437312,"阿拉伯单峰骆驼,骆驼"
355,llama,n02437616,骆驼
356,weasel,n02441942,黄鼠狼
357,mink,n02442845,水貂
358,polecat,n02443114,臭猫
359,black-footed_ferret,n02443484,黑足鼬
360,otter,n02444819,水獭
361,skunk,n02445715,"臭鼬,木猫"
362,badger,n02447366,獾
363,armadillo,n02454379,犰狳
364,three-toed_sloth,n02457408,树懒
365,orangutan,n02480495,"猩猩,婆罗洲猩猩"
366,gorilla,n02480855,大猩猩
367,chimpanzee,n02481823,黑猩猩
368,gibbon,n02483362,长臂猿
369,siamang,n02483708,"合趾猿长臂猿,合趾猿"
370,guenon,n02484975,长尾猴
371,patas,n02486261,赤猴
372,baboon,n02486410,狒狒
373,macaque,n02487347,"恒河猴,猕猴"
374,langur,n02488291,白头叶猴
375,colobus,n02488702,疣猴
376,proboscis_monkey,n02489166,长鼻猴
377,marmoset,n02490219,狨（美洲产小型长尾猴）
378,capuchin,n02492035,卷尾猴
379,howler_monkey,n02492660,吼猴
380,titi,n02493509,伶猴
381,spider_monkey,n02493793,蜘蛛猴
382,squirrel_monkey,n02494079,松鼠猴
383,Madagascar_cat,n02497673,"马达加斯加环尾狐猴,鼠狐猴"
384,indri,n02500267,"大狐猴,马达加斯加大狐猴"
385,Indian_elephant,n02504013,"印度大象,亚洲象"
386,African_elephant,n02504458,"非洲象,非洲象"
387,lesser_panda,n02509815,小熊猫
388,giant_panda,n02510455,大熊猫
389,barracouta,n02514041,杖鱼
390,eel,n02526121,鳗鱼
391,coho,n02536864,"银鲑,银鲑鱼"
392,rock_beauty,n02606052,三色刺蝶鱼
393,anemone_fish,n02607072,海葵鱼
394,sturgeon,n02640242,鲟鱼
395,gar,n02641379,雀鳝
396,lionfish,n02643566,狮子鱼
397,puffer,n02655020,河豚
398,abacus,n02666196,算盘
399,abaya,n02667093,长袍
400,academic_gown,n02669723,学位袍
401,accordion,n02672831,手风琴
402,acoustic_guitar,n02676566,原声吉他
403,aircraft_carrier,n02687172,航空母舰
404,airliner,n02690373,客机
405,airship,n02692877,飞艇
406,altar,n02699494,祭坛
407,ambulance,n02701002,救护车
408,amphibian,n02704792,水陆两用车
409,analog_clock,n02708093,模拟时钟
410,apiary,n02727426,蜂房
411,apron,n02730930,围裙
412,ashcan,n02747177,垃圾桶
413,assault_rifle,n02749479,"攻击步枪,枪"
414,backpack,n02769748,背包
415,bakery,n02776631,"面包店,面包铺,"
416,balance_beam,n02777292,平衡木
417,balloon,n02782093,热气球
418,ballpoint,n02783161,圆珠笔
419,Band_Aid,n02786058,创可贴
420,banjo,n02787622,班卓琴
421,bannister,n02788148,"栏杆,楼梯扶手"
422,barbell,n02790996,杠铃
423,barber_chair,n02791124,理发师的椅子
424,barbershop,n02791270,理发店
425,barn,n02793495,牲口棚
426,barometer,n02794156,晴雨表
427,barrel,n02795169,圆筒
428,barrow,n02797295,"园地小车,手推车"
429,baseball,n02799071,棒球
430,basketball,n02802426,篮球
431,bassinet,n02804414,婴儿床
432,bassoon,n02804610,"巴松管,低音管"
433,bathing_cap,n02807133,游泳帽
434,bath_towel,n02808304,沐浴毛巾
435,bathtub,n02808440,"浴缸,澡盆"
436,beach_wagon,n02814533,"沙滩车,旅行车"
437,beacon,n02814860,灯塔
438,beaker,n02815834,高脚杯
439,bearskin,n02817516,熊皮高帽
440,beer_bottle,n02823428,啤酒瓶
441,beer_glass,n02823750,啤酒杯 
442,bell_cote,n02825657,钟塔
443,bib,n02834397,（小儿用的）围嘴
444,bicycle-built-for-two,n02835271,"串联自行车,"
445,bikini,n02837789,比基尼
446,binder,n02840245,装订册
447,binoculars,n02841315,双筒望远镜
448,birdhouse,n02843684,鸟舍
449,boathouse,n02859443,船库
450,bobsled,n02860847,雪橇
451,bolo_tie,n02865351,饰扣式领带
452,bonnet,n02869837,阔边女帽
453,bookcase,n02870880,书橱
454,bookshop,n02871525,"书店,书摊"
455,bottlecap,n02877765,瓶盖
456,bow,n02879718,弓箭
457,bow_tie,n02883205,蝴蝶结领结
458,brass,n02892201,铜制牌位
459,brassiere,n02892767,奶罩
460,breakwater,n02894605,"防波堤,海堤"
461,breastplate,n02895154,铠甲
462,broom,n02906734,扫帚
463,bucket,n02909870,桶
464,buckle,n02910353,扣环
465,bulletproof_vest,n02916936,防弹背心
466,bullet_train,n02917067,"动车,子弹头列车"
467,butcher_shop,n02927161,"肉铺,肉菜市场"
468,cab,n02930766,出租车
469,caldron,n02939185,大锅
470,candle,n02948072,蜡烛
471,cannon,n02950826,大炮
472,canoe,n02951358,独木舟
473,can_opener,n02951585,"开瓶器,开罐器"
474,cardigan,n02963159,开衫
475,car_mirror,n02965783,车镜
476,carousel,n02966193,旋转木马
477,carpenter's_kit,n02966687,"木匠的工具包,工具包"
478,carton,n02971356,纸箱
479,car_wheel,n02974003,车轮
480,cash_machine,n02977058,"取款机,自动取款机"
481,cassette,n02978881,盒式录音带
482,cassette_player,n02979186,卡带播放器
483,castle,n02980441,城堡
484,catamaran,n02981792,双体船
